➜  math412-final-project git:(master) ✗ python analyze_spotify_misses.py
Best Contemporary Jazz Performance (Instrumental) :  1
Best Comedy Performance - Musical :  1
Best Jazz Performance Large Group :  1
Best Country & Western Performance :  1
Best Jazz Composition Of More Than Five Minutes Duration :  1
Best Engineered Record - Non-Classical :  1
Best Spoken Word, Documentary Or Drama :  1
Best Jazz Fusion Performance :  2
Best Instrumental Arrangement With Accompanying Vocal(s) :  2
Best Rock Vocal Performance, Male :  2
Best Arrangement, Instruments and Vocals :  2
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group :  2
Best Country Vocal Performance, Male :  2
Best Background Arrangement :  2
Best Rock & Roll Recording :  2
Best Arrangement, Instrumental or A Cappella :  2
Best Classical Performance - Chamber Music (Including Chamber Orchestra) :  2
Best Classical Performance - Choral (Other Than Opera) :  2
Best Contemporary (R&R) Group Performance, Vocal Or Instrumental :  2
Best Female Rock Vocal Performance :  2
Best Arrangement :  2
Best Classical Performance, Orchestra :  2
Best Gospel Or Other Religious Recording (Musical) :  2
Best New Age Performance :  2
Best Country & Western Vocal Performance - Female :  2
Best Rhythm & Blues Group Performance, Vocal Or Instrumental :  2
Best Classical Performance, Instrumental Soloist (With Orchestra) :  2
Best Male Pop Vocal Performance :  2
Best Country Performance By A Duo Or Group With Vocals :  2
Best Classical Performance - Instrumental Soloist(s) (With Orchestra) :  2
Best Pop Instrumental Performance (Orchestra, Group Or Soloist) :  2
Best Engineering Contribution - Other Than Classical Or Novelty :  2
Best Rock Instrumental Performance (Orchestra, Group Or Soloist) :  2
Best Classical Performance - Instrumental Soloist(s) (Without Orchestra) :  2
Best Instrumental Arrangement Accompanying Vocals :  2
Best Classical Performance, Instrumental Soloist (Without Orchestra) :  2
Best Performance By A Chorus (7 Or More Persons) :  2
Best Performance By An Orchestra :  2
Best Ethnic Or Traditional Folk Recording :  2
Best Classical Performance - Instrumental Soloist OR Soloists (With Orchestra) :  2
Best Mexican-American Performance :  2
Best Male Country Vocal Performance :  2
Best Chamber Music Performance - Vocal :  2
Best Pop Duo/Group Performance :  2
Best Engineering Contribution - Novelty Recording :  2
Best Contemporary Folk Recording :  2
Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group :  2
Best Score Soundtrack For Visual Media :  2
Best R&B Performance :  2
Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy) :  2
Best Performance - Documentary Or Spoken Word (Other Than Comedy) :  2
Best Arrangement On An Instrumental Recording :  2
Best Soul Gospel Performance By A Duo Or Group :  2
Best Traditional R&B Performance :  2
Best Pop Vocal Performance, Male :  3
Best Classical Performance - Chamber Music :  3
Best Contemporary Christian Music Song :  3
Best Classical Orchestral Performance :  3
Best Ethnic Or Traditional Recording (Including Traditional Blues) :  3
Best Comedy Performance :  3
Best Orchestral Recording :  3
Best Original Score Written For A Motion Picture Or A Television Special :  3
Best Ethnic Or Traditional Recording :  3
Best Contemporary Classical Composition :  3
Best Gospel Performance By A Duo Or Group, Choir Or Chorus :  3
Best Small Ensemble Performance (With Or Without Conductor) :  3
Best Female Pop Vocal Performance :  3
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra) :  3
Best Performance Of A Choral Work :  3
Best Traditional Folk Recording :  3
Best Engineering Contribution - Classical Recording :  3
Best Gospel Performance, Contemporary Or Inspirational :  3
Best Classical Vocal Solo :  3
Best Arrangement Accompanying A Vocalist Or Instrumentalist :  3
Best Rhythm & Blues Recording :  3
Best Original Score Written For A Motion Picture Or Television Show :  3
Best Tropical Latin Performance :  3
Best Vocal Performance, Female :  3
Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing :  3
Best Chamber Music/Small Ensemble Performance :  3
Best R&B Instrumental Performance (Orchestra, Group Or Soloist) :  3
Best Classical Engineered Recording :  3
Best Jazz Performance By A Soloist :  3
Best Song Written Specifically For A Motion Picture Or Television :  3
Best Compilation Soundtrack For Visual Media :  4
Best Rap Solo Performance :  4
Best Gospel Performance, Male :  4
Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra) :  4
Best Vocal Arrangement For Two Or More Voices :  4
Best Contemporary Blues Recording :  4
Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra) :  4
Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus :  4
Best Jazz Fusion Performance, Vocal Or Instrumental :  4
Best Song Written For A Motion Picture, Television Or Other Visual Media :  4
Best Country Vocal Collaboration :  4
Best Country Vocal Performance, Female :  4
Best Pop Vocal Performance By A Duo, Group Or Chorus :  4
Best Reggae Recording :  4
Best Traditional Pop Vocal Performance :  4
Best Soul Gospel Performance, Male :  4
Best Soul Gospel Performance, Contemporary :  4
Best Instrumental Composition Written For A Motion Picture Or For Television :  4
Best Classical Contemporary Composition :  4
Best Instrumental Theme :  4
Best Jazz Instrumental Performance, Individual Or Group :  4
Best Soul Gospel Performance, Traditional :  4
Best Engineering Contribution - Novelty :  4
Best Folk Recording :  4
Best Classical Compendium :  4
Best Music Film :  4
Best Song Written For Motion Picture, Television Or Other Visual Media :  4
Best Engineered Recording - Special Or Novel Effects :  4
Best Gospel Song :  5
Best Instrumental Soloist(s) Performance (With Orchestra) :  5
Best Contemporary Jazz Performance :  5
Best Small Ensemble Performance (with or without Conductor) :  5
Best Urban/Alternative Performance :  5
