1998,Record Of The Year,My Heart Will Go On (Love Theme From Titanic),Celine Dion,[]
1971,Record Of The Year,It's Too Late,Carole King,[]
1960,Record Of The Year,The Theme From “A Summer Place”,Percy Faith,[]
